                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4214,                 3.7975,                 1.6448,                0.59231,                0.26061,                0.25551,                0.15578,                 1.2793,                 2.4398,                 1.6493,              0.0033258,              0.0033258,              0.0033258
                      2,                 1.3178,                 2.2543,                 1.5098,                0.61412,                0.27535,                0.28993,                0.17434,                 1.3383,                 2.3265,                 1.7123,              0.0065932,              0.0065932,              0.0065932
                      3,                 1.3443,                 2.1256,                 1.5352,                0.57054,                0.27947,                0.30127,                0.18233,                 1.3865,                 2.3915,                 1.7787,              0.0097946,              0.0097946,              0.0097946
                      4,                 1.3821,                 2.0801,                 1.5656,                0.48071,                0.33093,                0.33267,                0.19732,                 1.3764,                 2.2224,                 1.7309,               0.009703,               0.009703,               0.009703
                      5,                 1.3536,                 1.9276,                 1.5438,                0.47015,                 0.3592,                0.35517,                0.21667,                 1.3636,                 2.1107,                 1.6999,               0.009604,               0.009604,               0.009604
                      6,                 1.3225,                 1.8188,                 1.5206,                0.55487,                0.38213,                0.40378,                0.25183,                 1.3181,                 1.9028,                 1.6931,               0.009505,               0.009505,               0.009505
                      7,                 1.3054,                 1.7104,                 1.5104,                0.57927,                0.38374,                0.40562,                0.25642,                 1.3076,                 1.9609,                 1.6853,               0.009406,               0.009406,               0.009406
                      8,                 1.2724,                 1.6119,                 1.4826,                 0.5803,                0.41348,                 0.4618,                0.29205,                 1.2764,                 1.7594,                 1.6477,               0.009307,               0.009307,               0.009307
                      9,                  1.251,                 1.5772,                 1.4675,                0.58787,                0.40876,                0.45623,                0.29304,                 1.2743,                 1.7479,                 1.6457,               0.009208,               0.009208,               0.009208
                     10,                 1.2501,                   1.51,                 1.4619,                0.58339,                0.45506,                0.47195,                0.30371,                 1.2665,                 1.7128,                 1.6227,               0.009109,               0.009109,               0.009109
                     11,                 1.2222,                 1.4488,                 1.4402,                0.57204,                0.49435,                0.51146,                0.33556,                 1.2361,                 1.5934,                 1.6053,                0.00901,                0.00901,                0.00901
                     12,                 1.2123,                 1.4114,                 1.4361,                0.54446,                0.50959,                0.53309,                0.35495,                 1.2316,                 1.5579,                 1.5996,               0.008911,               0.008911,               0.008911
                     13,                 1.2049,                 1.3823,                 1.4227,                0.60342,                0.49992,                0.54939,                0.35879,                 1.2288,                 1.5422,                 1.6044,               0.008812,               0.008812,               0.008812
                     14,                 1.1927,                 1.3453,                 1.4231,                0.60275,                0.51221,                0.56407,                0.37506,                 1.2151,                 1.4957,                 1.5863,               0.008713,               0.008713,               0.008713
                     15,                  1.183,                 1.3075,                  1.418,                0.61736,                0.51994,                0.56723,                0.36929,                 1.2147,                 1.4712,                 1.5806,               0.008614,               0.008614,               0.008614
                     16,                 1.1692,                 1.2711,                 1.3998,                0.59814,                0.52544,                0.56476,                0.37675,                 1.2072,                 1.4956,                 1.5906,               0.008515,               0.008515,               0.008515
                     17,                 1.1597,                 1.2531,                 1.3971,                0.68494,                0.50874,                0.60577,                0.40572,                 1.1903,                 1.4099,                 1.5615,               0.008416,               0.008416,               0.008416
                     18,                 1.1553,                 1.2382,                 1.3967,                0.63763,                0.54265,                0.60149,                0.39928,                 1.1849,                 1.4086,                 1.5554,               0.008317,               0.008317,               0.008317
                     19,                 1.1422,                 1.2155,                 1.3787,                0.66476,                0.55223,                0.61684,                0.41034,                 1.1716,                 1.3273,                 1.5554,               0.008218,               0.008218,               0.008218
                     20,                 1.1386,                 1.1969,                 1.3799,                0.58784,                0.59596,                 0.6188,                0.41737,                 1.1645,                 1.3725,                 1.5235,               0.008119,               0.008119,               0.008119
                     21,                 1.1309,                 1.1854,                 1.3767,                 0.6241,                0.58028,                0.62476,                0.42125,                 1.1532,                 1.3132,                 1.5285,                0.00802,                0.00802,                0.00802
                     22,                 1.1229,                 1.1443,                 1.3649,                0.60309,                0.61873,                0.64216,                0.43766,                 1.1508,                 1.3046,                 1.5254,               0.007921,               0.007921,               0.007921
                     23,                 1.1099,                  1.119,                  1.359,                 0.6031,                0.61623,                0.64021,                0.43253,                 1.1552,                 1.2961,                 1.5306,               0.007822,               0.007822,               0.007822
                     24,                 1.1078,                 1.1162,                 1.3586,                0.59176,                0.61593,                 0.6202,                0.42455,                  1.158,                 1.2773,                 1.5336,               0.007723,               0.007723,               0.007723
                     25,                 1.0991,                 1.1096,                 1.3559,                0.69488,                 0.5938,                0.66536,                0.45226,                 1.1576,                 1.2679,                 1.5338,               0.007624,               0.007624,               0.007624
